muni_code;region;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22;prop_residuo;prop_esgot
1503457;1;Ipixuna Do Par√°;15;PA;n„o metropolitana;amazonia;68,67;Am;29116;46,24;26,76
1503507;1;Irituia;15;PA;n„o metropolitana;amazonia;38,35;Am;30627;29,69;3,09
1503606;1;Itaituba;15;PA;n„o metropolitana;amazonia;202,82;Am;137170;76,45;20,9
1503705;1;Itupiranga;15;PA;n„o metropolitana;amazonia;158,83;Am;53873;47,21;9,05
1503754;1;Jacareacanga;15;PA;n„o metropolitana;amazonia;218,46;Am;24742;35,13;2,62
1503804;1;Jacund√°;15;PA;n„o metropolitana;amazonia;103,85;Am;36184;80,21;15,85
1503903;1;Juruti;15;PA;n„o metropolitana;amazonia;62,04;Am;57837;51,32;3,21
1504000;1;Limoeiro Do Ajuru;15;PA;n„o metropolitana;amazonia;10,74;Af;29617;25,17;6,45
1504059;1;M√£e Do Rio;15;PA;n„o metropolitana;amazonia;48,24;Am;34566;83,69;42,39
1504109;1;Magalh√£es Barata;15;PA;n„o metropolitana;amazonia;24,3;Am;8090;37,51;50,7
1504208;1;Marab√°;15;PA;metropolitana;amazonia;202,81;Am;271321;78,53;32,98
1504307;1;Maracan√£;15;PA;n„o metropolitana;amazonia;21,09;Am;25929;29,98;43,68
1504406;1;Marapanim;15;PA;n„o metropolitana;amazonia;22,97;Am;30867;57,38;2,6
1504422;1;Marituba;15;PA;metropolitana;amazonia;18,74;Af;123890;89,35;19,13
1504455;1;Medicil√¢ndia;15;PA;n„o metropolitana;amazonia;166,02;Am;26438;30,94;19,89
1504505;1;Melga√ßo;15;PA;n„o metropolitana;amazonia;24,69;Af;26770;24,06;4,05
1504604;1;Mocajuba;15;PA;n„o metropolitana;amazonia;22,41;Af;27265;64,16;32,04
1504703;1;Moju;15;PA;n„o metropolitana;amazonia;45,17;Af;81364;35,9;6,07
1504752;1;Moju√≠ Dos Campos;15;PA;n„o metropolitana;amazonia;125;Af;22845;37,36;17,97
1504802;1;Monte Alegre;15;PA;n„o metropolitana;amazonia;265,69;Am;59890;42,72;2,65
1504901;1;Muan√°;15;PA;n„o metropolitana;amazonia;10,98;Af;60117;51,58;4,47
1504950;1;Nova Esperan√ßa Do Piri√°;15;PA;n„o metropolitana;amazonia;97,34;Am;21132;46,86;2,56
1504976;1;Nova Ipixuna;15;PA;n„o metropolitana;amazonia;107,2;Aw;13318;63,03;11,98
1505007;1;Nova Timboteua;15;PA;n„o metropolitana;amazonia;34,55;Am;12737;76,6;1,43
