muni_code;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22;prop_esgot;prop_abast;prop_residuo
4200200;Agrol√¢ndia;42;SC;n„o metropolitana;mata atlantica;636,59;Cfb;11010;79,91;93,11;95,14
4200309;Agron√¥mica;42;SC;n„o metropolitana;mata atlantica;481,68;Cfa;6055;53,38;90,27;69,67
4200408;√Ågua Doce;42;SC;n„o metropolitana;mata atlantica;1180,29;Cfb;6286;71,5;88,88;72,35
4200507;√Åguas De Chapec√≥;42;SC;n„o metropolitana;mata atlantica;329,51;Cfa;5872;10,73;90,86;54,03
4200556;√Åguas Frias;42;SC;n„o metropolitana;mata atlantica;379,36;Cfa;2802;37,29;88,68;48,9
4200606;√Åguas Mornas;42;SC;metropolitana;mata atlantica;590,35;Cfb;6765;68,87;58,94;93,73
4200705;Alfredo Wagner;42;SC;metropolitana;mata atlantica;828,81;Cfb;10455;55,31;66,68;55,21
4200754;Alto Bela Vista;42;SC;n„o metropolitana;mata atlantica;453,26;Cfa;1859;40,12;89,53;58,7
4200804;Anchieta;42;SC;n„o metropolitana;mata atlantica;620,55;Cfa;5942;15,78;92,97;62,17
4200903;Angelina;42;SC;metropolitana;mata atlantica;660,52;Cfb;5497;63,4;69,37;85,49
4201000;Anita Garibaldi;42;SC;n„o metropolitana;mata atlantica;827,78;Cfb;8286;58,1;84,83;79,1
4201109;Anit√°polis;42;SC;metropolitana;mata atlantica;764,95;Cfb;3463;58,05;81,11;90,6
4201208;Ant√¥nio Carlos;42;SC;metropolitana;mata atlantica;360,19;Cfa;11295;61,54;71,49;94,37
4201257;Api√∫na;42;SC;n„o metropolitana;mata atlantica;469,42;Cfa;11926;79,26;78,4;93,16
4201273;Arabut√£;42;SC;n„o metropolitana;mata atlantica;563,7;Cfa;4378;72,66;78,79;66,84
4201307;Araquari;42;SC;n„o metropolitana;mata atlantica;15,76;Cfa;45462;64,37;97,22;96,95
4201406;Ararangu√°;42;SC;n„o metropolitana;mata atlantica;12,36;Cfa;72138;77,7;97,09;94,55
4201505;Armaz√©m;42;SC;n„o metropolitana;mata atlantica;214,06;Cfa;8825;81;82,27;81,08
4201604;Arroio Trinta;42;SC;n„o metropolitana;mata atlantica;916,04;Cfb;3556;67,25;85,2;90,02
4201653;Arvoredo;42;SC;n„o metropolitana;mata atlantica;591,11;Cfa;2539;45,47;81,24;35,61
4201703;Ascurra;42;SC;n„o metropolitana;mata atlantica;272,79;Cfa;8408;86,95;96,73;99,36
4201802;Atalanta;42;SC;n„o metropolitana;mata atlantica;598,89;Cfa;3218;81,35;92,03;78,45
4201901;Aurora;42;SC;n„o metropolitana;mata atlantica;579,75;Cfa;6810;62,38;72,25;62,15
4201950;Balne√°rio Arroio Do Silva;42;SC;n„o metropolitana;mata atlantica;7,18;Cfa;15693;97,68;99,61;99,3
4202008;Balne√°rio Cambori√∫;42;SC;n„o metropolitana;mata atlantica;53,68;Cfa;140036;98,98;99,03;99,96
4202057;Balne√°rio Barra Do Sul;42;SC;n„o metropolitana;mata atlantica;13,68;Cfa;14885;83,72;99,06;99,41
4202073;Balne√°rio Gaivota;42;SC;n„o metropolitana;mata atlantica;7,53;Cfa;15353;95,16;98,65;97,89
4202081;Bandeirante;42;SC;n„o metropolitana;mata atlantica;428,23;Cfa;3144;17,24;90,43;35,15
4202099;Barra Bonita;42;SC;n„o metropolitana;mata atlantica;440,04;Cfa;1608;12,65;93,93;37,61
4202107;Barra Velha;42;SC;n„o metropolitana;mata atlantica;33,03;Cfa;45633;88,52;98,64;96,69
4202131;Bela Vista Do Toldo;42;SC;n„o metropolitana;mata atlantica;909,04;Cfb;5863;27,83;96,55;23,42
4202156;Belmonte;42;SC;n„o metropolitana;mata atlantica;442,83;Cfa;2703;13,78;89,38;56,51
4202206;Benedito Novo;42;SC;n„o metropolitana;mata atlantica;624,9;Cfb;10484;78,29;83,3;91,21
4202305;Bigua√ßu;42;SC;metropolitana;mata atlantica;139,6;Cfa;78623;85,33;85,83;99,08
4202404;Blumenau;42;SC;metropolitana;mata atlantica;244,81;Cfa;363340;92,22;98,04;99,76
