muni_code;muni_name;uf_code;uf_acr;tipo_regiao;bioma;altitude;koppen;pop22
1300680;Boa Vista Do Ramos;13;AM;n„o metropolitana;amazonia;27,15;Af;24018
1300706;Boca Do Acre;13;AM;n„o metropolitana;amazonia;170,74;Am;35964
1300805;Borba;13;AM;n„o metropolitana;amazonia;60,79;Af;33209
1300839;Caapiranga;13;AM;n„o metropolitana;amazonia;47,75;Af;13851
1300904;Canutama;13;AM;n„o metropolitana;amazonia;83,37;Am;17362
1301001;Carauari;13;AM;n„o metropolitana;amazonia;108,75;Af;29176
1301100;Careiro;13;AM;metropolitana;amazonia;34,96;Af;30819
1301159;Careiro Da V√°rzea;13;AM;metropolitana;amazonia;22,84;Af;19615
1301209;Coari;13;AM;n„o metropolitana;amazonia;67,58;Af;71130
1301308;Codaj√°s;13;AM;n„o metropolitana;amazonia;48,4;Af;24071
1301407;Eirunep√©;13;AM;n„o metropolitana;amazonia;176,14;Af;33173
1301506;Envira;13;AM;n„o metropolitana;amazonia;183,76;Af;17034
