,geocode,season,temp_med,umid_med,precip_tot,thr_temp,thr_umid,thr_prec,thr_temp_umid,year,dengue_pattern
198,2704609,Summer,27.41662,62.255313333333326,308.92130000000003,90,49,12,49,2017,Episódico
199,2704609,Winter,23.291759782608693,69.88181630434782,279.0145,92,91,5,91,2017,Episódico
200,2704708,Autumn,25.129040217391307,82.75047391304348,1692.4817,92,92,62,92,2017,Episódico/Epidêmico
201,2704708,Spring,25.365485555555555,77.68915333333334,642.018,90,90,23,90,2017,Episódico/Epidêmico
202,2704708,Summer,26.248315555555553,79.32046333333334,1101.248,90,90,40,90,2017,Episódico/Epidêmico
203,2704708,Winter,23.875788043478263,77.51419239130435,1004.7457,92,92,40,92,2017,Episódico/Epidêmico
204,2704807,Autumn,23.864305434782608,83.84307717391304,1054.6888,92,92,46,92,2017,Episódico
205,2704807,Spring,24.463970000000003,76.74254777777779,480.483,90,90,17,90,2017,Episódico
206,2704807,Summer,25.59626111111111,76.77772,656.6969,90,90,24,90,2017,Episódico
207,2704807,Winter,22.34855652173913,80.17137391304348,772.0785,92,92,31,92,2017,Episódico
208,2704906,Autumn,23.37707282608696,83.73958260869564,1015.0243,92,92,44,92,2017,Episódico
209,2704906,Spring,24.10492111111111,75.68440222222222,418.3455,90,90,10,90,2017,Episódico
210,2704906,Summer,25.275145555555557,75.41316777777777,551.0486,90,90,20,90,2017,Episódico
211,2704906,Winter,21.797015217391305,80.46791086956522,767.17,92,92,29,92,2017,Episódico
212,2705002,Autumn,24.361916304347826,72.83008043478262,481.4431,92,88,8,88,2017,Episódico/Epidêmico
213,2705002,Spring,26.31517888888889,58.576278888888886,78.6147,90,37,0,37,2017,Episódico/Epidêmico
214,2705002,Summer,27.067015555555553,61.19853333333334,407.94689999999997,90,47,11,47,2017,Episódico/Epidêmico
215,2705002,Winter,23.03480543478261,67.89669239130436,188.4989,92,84,0,84,2017,Episódico/Epidêmico
216,2705101,Autumn,24.58721956521739,84.86761413043477,1575.6045,92,92,59,92,2017,Episódico/Epidêmico
217,2705101,Spring,24.954045555555552,78.9959311111111,722.3448,90,90,33,90,2017,Episódico/Epidêmico
