muni_code;dengue_pattern_2010_2016;dengue_pattern_2017_2022;transition
1703057;Episódico;Episódico;Se manteve
1703073;Episódico;Episódico;Se manteve
1703107;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1703206;Episódico/Epidêmico;Episódico;Melhorou
1703305;Episódico;Episódico;Se manteve
1703602;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1703701;Episódico;Episódico/Epidêmico;Piorou
1703800;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1703826;Episódico/Epidêmico;Episódico;Melhorou
1703842;Episódico;Episódico;Se manteve
1703867;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1703883;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1703891;Episódico;Episódico;Se manteve
1703909;Episódico;Episódico;Se manteve
1704105;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1704600;Episódico/Epidêmico;Episódico;Melhorou
1705102;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1705508;Epidêmico;Epidêmico;Se manteve
1705557;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1705607;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1706001;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1706100;Episódico/Epidêmico;Episódico;Melhorou
1706258;Episódico;Episódico;Se manteve
1706506;Episódico/Epidêmico;Episódico;Melhorou
1707009;Epidêmico;Epidêmico;Se manteve
1707108;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1707207;Episódico/Epidêmico;Episódico;Melhorou
1707306;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1707405;Episódico/Epidêmico;Episódico;Melhorou
1707553;Episódico;Episódico;Se manteve
1707652;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1707702;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1708205;Epidêmico;Episódico/Epidêmico;Melhorou
1708254;Episódico;Episódico/Epidêmico;Piorou
1708304;Episódico/Epidêmico;Episódico;Melhorou
1709005;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1709302;Epidêmico;Epidêmico;Se manteve
1709500;Epidêmico;Epidêmico;Se manteve
1709807;Episódico;Episódico;Se manteve
1710508;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1710706;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1710904;Episódico;Episódico;Se manteve
1711100;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1711506;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1711803;Episódico;Episódico;Se manteve
1711902;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1711951;Episódico;Episódico;Se manteve
1712009;Episódico/Epidêmico;Episódico;Melhorou
1712157;Episódico/Epidêmico;Episódico;Melhorou
1712405;Episódico;Episódico;Se manteve
1712454;Episódico;Episódico/Epidêmico;Piorou
1712504;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1712702;Episódico;Episódico;Se manteve
1712801;Episódico/Epidêmico;Episódico;Melhorou
1713205;Epidêmico;Epidêmico;Se manteve
1713304;Epidêmico;Episódico/Epidêmico;Melhorou
1713601;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1713700;Episódico;Episódico;Se manteve
1713809;Episódico/Epidêmico;Episódico;Melhorou
1713957;Episódico/Epidêmico;Episódico;Melhorou
1714203;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1714302;Episódico;Episódico;Se manteve
1714880;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1715002;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1715101;Episódico/Epidêmico;Episódico;Melhorou
1715150;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1715259;Episódico;Episódico/Epidêmico;Piorou
1715507;Episódico;Episódico;Se manteve
1715705;Episódico;Episódico;Se manteve
1715754;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1716109;Epidêmico;Epidêmico;Se manteve
1716208;Episódico/Epidêmico;Episódico;Melhorou
1716307;Episódico;Episódico;Se manteve
1716505;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1716604;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1716653;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1716703;Episódico/Epidêmico;Episódico;Melhorou
1717008;Episódico;Episódico;Se manteve
1717206;Episódico;Episódico/Epidêmico;Piorou
1717503;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1717800;Episódico;Episódico/Epidêmico;Piorou
1717909;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1718006;Episódico;Episódico;Se manteve
1718204;Epidêmico;Epidêmico;Se manteve
1718303;Episódico/Epidêmico;Episódico;Melhorou
1718402;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1718451;Episódico;Episódico/Epidêmico;Piorou
1718501;Episódico;Episódico;Se manteve
1718550;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1718659;Episódico;Episódico;Se manteve
1718709;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1718758;Episódico;Episódico/Epidêmico;Piorou
1718808;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1718840;Episódico/Epidêmico;Episódico;Melhorou
1718865;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1718881;Episódico/Epidêmico;Episódico;Melhorou
1718899;Episódico;Episódico;Se manteve
1718907;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1719004;Episódico;Episódico;Se manteve
1720002;Episódico/Epidêmico;Episódico;Melhorou
1720101;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
1720150;Episódico;Episódico;Se manteve
1720200;Episódico/Epidêmico;Episódico;Melhorou
